Verlängerung beantragen
Bedingung setzen
Beurteilung setzen
Vermutung stellen
Massnahme geben
Massnahme machen
Verfügung machen
Zulässigkeit machen
Regelung erklären
Landesverweisung aussprechen
Prozessführung gewähren
Vergünstigung gewähren
Beweiswürdigung vornehmen
Kürzung vornehmen
Sistierung beantragen
Verbesserung bringen
Einwilligung geben
Untersuchung anordnen
Gefährdung ziehen
Bemerkung machen
Anordnung erlassen
Gefährdung machen
Betreibung führen
Unterscheidung machen
Auslegung geben
